sampleID,sourceFile,sourceFolder,row,col,classFromFolder,classFromMat,rawPeakZ,rawPeakValue,manualLabel,labelText
1,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0377_idx000001.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,377,valid_folder,valid,48,0.125148903,1,Good
2,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0378_idx000002.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,378,valid_folder,valid,48,0.153336428,1,Good
3,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0379_idx000003.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,379,valid_folder,valid,48,0.147543463,1,Good
4,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0380_idx000004.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,380,valid_folder,valid,48,0.149492003,1,Good
5,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0381_idx000005.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,381,valid_folder,valid,48,0.070307863,1,Good
6,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0382_idx000006.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,382,valid_folder,valid,48,0.047997552,1,Good
7,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0383_idx000007.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,383,valid_folder,valid,47,0.058273868,1,Good
8,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0384_idx000008.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,384,valid_folder,valid,48,0.095399856,1,Good
9,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0385_idx000009.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,385,valid_folder,valid,48,0.105935614,1,Good
10,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0386_idx000010.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,421,386,valid_folder,valid,48,0.14784326,1,Good
