exportIndex,csvRow,sampleID,row,col,matCurveIndex,labelText,manualLabel,className,sourceFile,sourceFolder,classFromFolder,classFromMat,rawPeakZ,reconPeakZ,rawPeakValue,reconPeakValue,RMSE_raw_vs_recon,Corr_raw_vs_recon
1,1,1,421,377,1,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0377_idx000001.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0322937626579,48.0671973054444,0.125233193572181,0.0612606034458663,0.00891814007673412,0.877896459496918
2,2,2,421,378,2,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0378_idx000002.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0395491551683,48.0846010216502,0.153502575561695,0.0715300210846597,0.0113479752834023,0.858910649590705
3,3,3,421,379,3,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0379_idx000003.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.007370057588,48.0291229368602,0.147548594489233,0.0724183391249095,0.0104928395620634,0.879530206017283
4,4,4,421,380,4,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0380_idx000004.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,48.0101936721367,48.0335392668179,0.149502399103354,0.0713567909563933,0.0108161599836883,0.869664007433682
5,5,5,421,381,5,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0381_idx000005.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.9866324817935,48.0050376559446,0.0703158622499138,0.0350770738459439,0.00486149953424521,0.886077436111961
6,6,6,421,382,6,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0382_idx000006.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.7759283234107,47.752227589231,0.0492385802956829,0.0269730120459049,0.00351362071745104,0.899863941417352
7,7,7,421,383,7,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0383_idx000007.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.4826293638408,47.5588974782386,0.0645125911672464,0.0363658559659592,0.00496260704341351,0.89348439469474
8,8,8,421,384,8,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0384_idx000008.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.8604634721076,47.8031581210525,0.0964883822277704,0.0502753415578193,0.00672561015008665,0.894460640830618
9,9,9,421,385,9,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0385_idx000009.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.9767261687848,47.9544681921528,0.105964312172882,0.0601934711230433,0.00665471470135839,0.926140407845995
10,10,10,421,386,10,Good,1,slightly degraded,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat\curve_r0421_c0386_idx000010.mat,D:\LSH\LSH\实验\聚焦信号分类实验\1\ROI_x377_y421_w25_h26_20260626_172115\01_valid_raw_and_ifft\mat,valid_folder,valid,47.934658319322,47.9126897111086,0.148174707183544,0.0823218589711269,0.00946722520432951,0.920266905773582
